Protein ID,Recursion Step Done,Ligand Description,Binding Affinity (kcal/mol),Number of clashes,Strain Energy,Confidence Score,Rank of sdf,_timestamp,_runtime,_step
AF-P82932-F1-model_v3,1/5,null,-2.3297671506235687,4,7.136606087411934,-1.65,rank1_confidence-1.65,1711887350.690637,13.56215214729309,8
AF-A4QPH2-F1-model_v3,1/5,null,-5.461451904097857,28,9.6155053799761,-0.94,rank1_confidence-0.94,1711844162.9691494,54.58618640899658,8
AF-O00221-F1-model_v3,1/5,null,-2.83236833772208,22,4.821106344028266,-1.1,rank1_confidence-1.10,1711854754.5343816,29.772786617279053,8
AF-Q9BXW7-F1-model_v3,1/5,null,-3.8340579308703155,5,5.160512788951749,-0.8,rank1_confidence-0.80,1711952672.197973,25.246681928634644,8
AF-A0A087WTH5-F1-model_v3,1/5,null,-1.590394428659307,8,6.82835478072586,-2.84,rank1_confidence-2.84,1711834775.0684485,13.877696514129639,8
AF-Q9UK58-F1-model_v3,1/5,null,2.7508249515386707,24,9.643658627322495,-1.6,rank1_confidence-1.60,1711995831.322265,51.67121696472168,8
AF-O75716-F1-model_v3,1/5,null,-5.784574297964528,18,3.6063300300850614,-1.3,rank1_confidence-1.30,1711862900.094379,19.297404050827026,8
AF-A0A0B4J238-F1-model_v3,1/5,null,42.81137389506872,54,9.629112463002613,-2.0,rank1_confidence-2.00,1711835975.2977831,65.85833501815796,8
AF-Q9Y3D2-F1-model_v3,1/5,null,-4.822648536318203,19,5.331687450030316,-0.88,rank1_confidence-0.88,1712001522.4594545,17.11766743659973,8
AF-P14866-F1-model_v3,1/5,null,-5.242394959835857,10,5.782860097707456,0.13,rank1_confidence0.13,1711874162.4369912,29.742444276809692,8
AF-P0DMW3-F1-model_v3,3/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-P0DMW3-F1-model_v3/rank1_confidence-1.01.sdf,0.4922261128401403,12,9.20124059517451,-1.04,rank1_confidence-1.04,1711871780.0706224,18.782248497009277,8
AF-Q8IWT0-F1-model_v3,1/5,null,-3.4998839140907987,10,5.899598674806384,-2.17,rank1_confidence-2.17,1711921216.2390022,15.039040327072144,8
AF-P29084-F1-model_v3,1/5,null,-1.242774383134913,24,9.446323550173801,-1.74,rank1_confidence-1.74,1711878780.3768773,20.43763828277588,8
AF-Q16082-F1-model_v3,1/5,null,-3.0765415179659117,2,6.3864931098567865,-1.48,rank1_confidence-1.48,1711898304.7420423,19.70596718788147,8
AF-Q9Y4A8-F1-model_v3,1/5,null,0.5191413306434635,15,6.845864340151721,-1.89,rank1_confidence-1.89,1712001994.7695951,32.5132212638855,8
AF-Q8MH63-F1-model_v3,1/5,null,-2.8065744393045047,2,8.165570442164153,-2.31,rank1_confidence-2.31,1711922766.1540668,16.267821788787842,8
AF-P08254-F1-model_v3,1/5,null,102.88800237823206,102,6.707577852928395,-3.1,rank1_confidence-3.10,1711869206.1793988,26.90787172317505,8
AF-Q32NC0-F1-model_v3,1/5,null,-0.36879473143039043,32,6.36913011197484,-1.17,rank1_confidence-1.17,1711900524.8703249,17.269574880599976,8
AF-Q06210-F1-model_v3,1/5,null,-1.6297062622057665,45,6.685353259679076,-1.43,rank1_confidence-1.43,1711890366.4719164,38.27493643760681,8
AF-Q8N4F4-F1-model_v3,1/5,null,-3.298099109972968,11,9.984127902732297,-2.3,rank1_confidence-2.30,1711924160.1176353,27.048458337783813,8
AF-Q96KC2-F1-model_v3,1/5,null,-1.571705495374276,27,9.617005752917493,-0.77,rank1_confidence-0.77,1711942644.0070636,16.037551641464233,8
AF-Q11201-F1-model_v3,1/5,null,-4.485769564003883,15,6.637981583093108,-1.31,rank1_confidence-1.31,1711891981.0327244,22.111881494522095,8
AF-Q86YL7-F1-model_v3,1/5,null,-1.9578895849054572,11,6.162130256869077,-0.9,rank1_confidence-0.90,1711919911.8855317,15.315377712249756,8
AF-P98153-F1-model_v3,1/5,null,-0.23930473518833584,25,8.368649855331384,-1.98,rank1_confidence-1.98,1711887826.2551348,29.94005274772644,8
AF-Q8WUN7-F1-model_v3,1/5,null,-4.629624938823362,13,10.256513955993356,-0.22,rank1_confidence-0.22,1711933380.0696754,17.830350399017334,8
AF-P01733-F1-model_v3,1/5,null,0.526476867034318,19,8.607493936720942,-1.47,rank1_confidence-1.47,1711866738.1052437,13.623136758804321,8
AF-A0A0A6YYD4-F1-model_v3,5/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-A0A0A6YYD4-F1-model_v3/rank1_confidence-0.68.sdf,-6.0471616085368565,5,5.475455591456864,-0.47,rank1_confidence-0.47,1711835786.3350794,13.023329496383667,8
AF-P86479-F1-model_v3,1/5,null,-3.2863301731043166,11,5.784258469791894,-2.13,rank1_confidence-2.13,1711887628.2131119,21.423333883285522,8
AF-A0A2R8YFM6-F1-model_v3,1/5,null,1565.153157775169,90,7.472212184373589,-2.14,rank1_confidence-2.14,1711840699.9973152,22.61549210548401,8
AF-Q6ZSJ9-F1-model_v3,1/5,null,-3.465106874794574,5,5.459258591580394,-2.46,rank1_confidence-2.46,1711914321.5820937,26.55185079574585,8
AF-Q03169-F1-model_v3,1/5,null,1.6012499865610708,40,5.640453851391484,-2.06,rank1_confidence-2.06,1711889583.8987854,29.40345525741577,8
AF-A0AVK6-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-A0AVK6-F1-model_v3/rank1_confidence-1.16.sdf,-1.192134145493522,0,9.31387097361474,-2.14,rank1_confidence-2.14,1711841786.903299,20.603331089019775,8
AF-A0A0K0K1G8-F1-model_v3,1/5,null,-2.640439896752972,5,3.9797472069471382,-0.59,rank1_confidence-0.59,1711837324.645749,14.427443981170654,8
AF-P0CG34-F1-model_v3,1/5,null,-2.4118514707199528,2,5.1230185477697745,-1.58,rank1_confidence-1.58,1711870773.892846,12.508235216140747,8
AF-Q9NQ88-F1-model_v3,1/5,null,-4.910048034840389,30,5.342834886931087,-1.42,rank1_confidence-1.42,1711961720.9758146,20.7608425617218,8
AF-Q8N594-F1-model_v3,1/5,null,0.39270032529365084,41,6.310445394747802,-1.45,rank1_confidence-1.45,1711924391.0652285,23.964714527130127,8
AF-P07510-F1-model_v3,1/5,null,-2.9886770541757928,5,6.65057637512767,-1.72,rank1_confidence-1.72,1711868828.1598,25.339128971099854,8
AF-Q8N4L2-F1-model_v3,1/5,null,-3.2338642245419984,2,6.322994670134364,-1.23,rank1_confidence-1.23,1711924157.7286994,18.874178409576416,8
AF-Q86TY3-F1-model_v3,3/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q86TY3-F1-model_v3/rank1_confidence-0.80.sdf,-2.0159779926386,26,6.930241125237117,-0.21,rank1_confidence-0.21,1711918335.195887,21.228830099105835,8
AF-P22749-F1-model_v3,1/5,null,-1.155226106164645,20,8.086336782048207,-2.47,rank1_confidence-2.47,1711877116.3403454,16.957793474197388,8
AF-Q9Y530-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q9Y530-F1-model_v3/rank1_confidence-1.39.sdf,3.1347631362452897,11,6.906855051191471,-1.6,rank1_confidence-1.60,1712002331.9558432,15.5628342628479,8
AF-Q99497-F1-model_v3,1/5,null,26.341594514230277,38,9.70880449808206,-1.47,rank1_confidence-1.47,1711947557.0336711,16.692243099212646,8
AF-Q6MZP7-F1-model_v3,1/5,null,-3.2177008868804435,8,5.890819162581664,-1.53,rank1_confidence-1.53,1711909811.6679997,35.009403705596924,8
AF-A7E2U8-F1-model_v3,1/5,null,-3.0896304045866874,18,8.349291995887683,-2.48,rank1_confidence-2.48,1711847721.3284068,20.869990825653076,8
AF-Q9Y6F9-F1-model_v3,1/5,null,-2.5306171933913624,57,5.434687132415988,-1.98,rank1_confidence-1.98,1712003456.4504786,21.333868503570557,8
AF-P62701-F1-model_v3,1/5,null,63.0081295741732,38,9.412921799117157,-3.5,rank1_confidence-3.50,1711885919.9029257,17.90150761604309,8
AF-Q3KNS1-F1-model_v3,1/5,null,-4.178733353952526,19,6.301895463996999,-1.25,rank1_confidence-1.25,1711900811.224265,37.34914708137512,8
AF-Q86XU0-F1-model_v3,1/5,null,10424.939405693114,51,6.110939642052088,-1.74,rank1_confidence-1.74,1711919657.5521576,29.67560362815857,8
AF-Q8N4S7-F1-model_v3,1/5,null,-2.24044610901111,39,9.078064596614013,-1.64,rank1_confidence-1.64,1711924238.1147206,18.767412662506104,8
AF-Q9H8J5-F1-model_v3,1/5,null,-0.09122658148235663,2,12.691970740819485,-0.63,rank1_confidence-0.63,1711958344.6562958,23.81183671951294,8
AF-Q5MJ09-F1-model_v3,1/5,null,-2.134136723175313,9,9.12192933587609,-0.8,rank1_confidence-0.80,1711904674.650522,14.15112590789795,8
AF-P81172-F1-model_v3,1/5,null,1.0353482815983512,5,10.65553395130388,-1.46,rank1_confidence-1.46,1711887241.456809,15.6628999710083,8
AF-O43320-F1-model_v3,1/5,null,-2.933069595195922,5,8.36258852492054,-2.02,rank1_confidence-2.02,1711858974.1720572,16.830685138702393,8
AF-Q9NX07-F1-model_v3,1/5,null,5.170531400687808,37,6.35062667204042,-1.64,rank1_confidence-1.64,1711966091.435897,18.98002815246582,8
AF-O96009-F1-model_v3,1/5,null,-0.6221901617299456,11,5.120618294058474,-3.13,rank1_confidence-3.13,1711865919.5544236,24.262690544128418,8
AF-Q8IYF1-F1-model_v3,1/5,null,-2.726820540168325,6,6.02298493111924,-0.69,rank1_confidence-0.69,1711921928.3187091,31.90971302986145,8
AF-Q08AG5-F1-model_v3,1/5,null,0.9272856539982613,53,11.83341712593564,-1.26,rank1_confidence-1.26,1711891139.0281713,33.76733732223511,8
AF-Q86YJ5-F1-model_v3,1/5,null,65717.06963115055,65,6.199795527997523,-1.54,rank1_confidence-1.54,1711919923.8684092,21.920730113983154,8
AF-Q16589-F1-model_v3,1/5,null,-2.9497370119464303,15,5.908092005694613,-1.41,rank1_confidence-1.41,1711898764.8787413,20.579585313796997,8
AF-Q0VAQ4-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q0VAQ4-F1-model_v3/rank1_confidence-1.16.sdf,-2.744300294466879,4,7.082647045903357,-1.31,rank1_confidence-1.31,1711891696.5441494,12.855478286743164,8
AF-Q8IVY1-F1-model_v3,1/5,null,2398003.910527398,40,9.265469203083754,-2.97,rank1_confidence-2.97,1711920917.1046114,13.765473365783691,8
AF-Q9NV88-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q9NV88-F1-model_v3/rank1_confidence-1.19.sdf,-3.2925485946818314,2,9.68956100811306,-0.37,rank1_confidence-0.37,1711964475.4262521,39.180848121643066,8
AF-Q9UIE0-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q9UIE0-F1-model_v3/rank1_confidence-1.26.sdf,-0.8624615361284452,21,5.914036773495397,-1.18,rank1_confidence-1.18,1711993081.730911,27.74286699295044,8
AF-Q8WWI5-F1-model_v3,1/5,null,15.726648785296627,39,6.478182566608538,-1.61,rank1_confidence-1.61,1711934141.767222,29.644791841506958,8
AF-Q9H425-F1-model_v3,1/5,null,809.0932747886145,38,5.161682257383532,-2.45,rank1_confidence-2.45,1711956761.3430514,20.331180334091187,8
AF-Q96G75-F1-model_v3,1/5,null,0.5257113017707123,30,10.008416986217654,-2.22,rank1_confidence-2.22,1711940899.1663325,25.134146451950073,8
AF-P49116-F1-model_v3,1/5,null,-3.6007819585853555,9,9.605299480685048,-1.15,rank1_confidence-1.15,1711883674.4855278,29.2880597114563,8
AF-Q9BXU8-F1-model_v3,1/5,null,-3.6981084151096457,5,5.12214000200953,-1.07,rank1_confidence-1.07,1711952604.7386045,15.745348453521729,8
AF-Q5T036-F1-model_v3,1/5,null,2.4439964588135497,44,6.976398775310983,-1.01,rank1_confidence-1.01,1711905362.3188438,17.542929887771606,8
AF-Q9H078-F1-model_v3,1/5,null,-5.572450650441438,9,7.519831057504703,-1.16,rank1_confidence-1.16,1711954849.066092,33.07334589958191,8
AF-Q96HJ9-F1-model_v3,1/5,null,13441.443460127104,33,8.648453190426821,-2.16,rank1_confidence-2.16,1711941448.206308,13.43796181678772,8
AF-Q9BY77-F1-model_v3,4/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q9BY77-F1-model_v3/rank1_confidence-1.44.sdf,-2.6769289421977613,17,4.884096616862081,-1.28,rank1_confidence-1.28,1711952985.7362497,18.90799570083618,8
AF-Q8IZ21-F1-model_v3,1/5,null,-2.2867880610636684,8,5.8127776763361965,-0.92,rank1_confidence-0.92,1711922310.1259966,33.69331669807434,8
AF-Q15722-F1-model_v3,1/5,null,30.216741589360815,48,3.7857633870459466,-0.91,rank1_confidence-0.91,1711897693.0103607,21.268718719482422,8
AF-A0A0G2JMH3-F1-model_v3,1/5,null,0.047289534457499394,14,6.362073265867295,-1.75,rank1_confidence-1.75,1711836655.5244513,15.713988304138184,8
AF-Q6UX98-F1-model_v3,1/5,null,-3.0882207453363457,3,5.518618338480962,-1.83,rank1_confidence-1.83,1711912394.7586832,18.372894287109375,8
AF-Q96QD5-F1-model_v3,1/5,null,55.6718033522374,57,11.899267629641713,-1.72,rank1_confidence-1.72,1711945818.2161038,26.10925269126892,8
AF-Q8IVJ1-F1-model_v3,1/5,null,-4.79368801442589,6,8.50666241245996,-0.97,rank1_confidence-0.97,1711920807.363915,25.414342880249023,8
AF-Q9GZW8-F1-model_v3,1/5,null,199.47251795859722,44,6.199315922418847,-1.61,rank1_confidence-1.61,1711954631.4157753,18.290202379226685,8
AF-O95988-F1-model_v3,1/5,null,9345.161472056732,61,6.655796430683907,-2.34,rank1_confidence-2.34,1711865800.9293227,14.230971813201904,8
AF-Q96LT7-F1-model_v3,1/5,null,8387.032925324325,95,7.537442485134349,-1.91,rank1_confidence-1.91,1711943407.3271568,26.515740871429443,8
AF-Q96DH6-F1-model_v3,1/5,null,2.814173224056502,29,8.440994932120873,-1.76,rank1_confidence-1.76,1711939765.4461272,23.592881202697754,8
AF-Q06787-F1-model_v3,1/5,null,2196151.4928268893,71,8.816837030216945,-2.72,rank1_confidence-2.72,1711890491.2476525,32.92470860481262,8
AF-A0A1B0GTK5-F1-model_v3,5/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-A0A1B0GTK5-F1-model_v3/rank1_confidence-1.20.sdf,-1.902611104406163,1,14.420816342786452,-1.23,rank1_confidence-1.23,1711838722.7388337,14.232842683792114,8
AF-Q5SVQ8-F1-model_v3,1/5,null,2.102506070595669,43,5.140714611184535,-1.82,rank1_confidence-1.82,1711905165.8972838,46.99422883987427,8
AF-P36959-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-P36959-F1-model_v3/rank1_confidence-0.80.sdf,-5.601288437887841,11,8.601943920208683,-0.77,rank1_confidence-0.77,1711881133.8210714,17.1237154006958,8
AF-Q9H2X8-F1-model_v3,1/5,null,-2.5674130819890824,3,5.906882854494825,-2.17,rank1_confidence-2.17,1711956283.2523923,14.557667255401611,8
AF-O95716-F1-model_v3,1/5,null,5.548797678916574,8,6.581672805445436,-2.31,rank1_confidence-2.31,1711865320.0578132,17.819175243377686,8
AF-Q8N427-F1-model_v3,1/5,null,-3.59621738827038,10,8.884815947839641,-2.18,rank1_confidence-2.18,1711923963.644363,29.2793869972229,8
AF-P47736-F1-model_v3,1/5,null,28.1245901464073,42,4.747970258344395,-1.3,rank1_confidence-1.30,1711883021.8564768,29.819612741470337,8
AF-Q92901-F1-model_v3,1/5,null,5.368791149345283,21,5.8592538957159945,-2.52,rank1_confidence-2.52,1711937205.456148,21.74422597885132,8
AF-P36537-F1-model_v3,1/5,null,13.723190059335927,46,3.673528767961585,-2.17,rank1_confidence-2.17,1711880962.6622038,29.29247784614563,8
AF-Q9BRQ0-F1-model_v3,1/5,null,7.2964291416193765,18,8.539006462225458,-1.45,rank1_confidence-1.45,1711949948.9807305,21.377968549728394,8
AF-G5E9R7-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-G5E9R7-F1-model_v3/rank1_confidence-0.68.sdf,-0.11437323848226766,9,8.519006808282967,-0.64,rank1_confidence-0.64,1711854178.8800406,21.461644649505615,8
AF-A8MW99-F1-model_v3,3/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-A8MW99-F1-model_v3/rank1_confidence-1.06.sdf,-3.789646933164456,4,7.758388929911902,-1.32,rank1_confidence-1.32,1711848486.9437516,17.810973644256592,8
AF-Q5VVC0-F1-model_v3,1/5,null,-2.313523431770896,8,4.621105093772769,-1.66,rank1_confidence-1.66,1711907343.6133661,21.42045521736145,8
AF-Q9HCG7-F1-model_v3,1/5,null,-2.346925178032891,33,7.51189342836588,-1.31,rank1_confidence-1.31,1711960352.707027,43.19245100021362,8
AF-Q8IXT5-F1-model_v3,1/5,null,-3.5874731976695395,31,7.144539274939774,-1.45,rank1_confidence-1.45,1711921676.5094554,45.0330274105072,8
AF-Q6ICB0-F1-model_v3,1/5,null,162.43472221459186,40,5.126711313201184,-1.61,rank1_confidence-1.61,1711909228.7657664,16.00435733795166,8
AF-P36888-F1-model_v3,1/5,null,45332.47006502324,78,7.428432347839973,-1.72,rank1_confidence-1.72,1711881032.5747106,46.61098551750183,8
AF-Q9Y2U2-F1-model_v3,1/5,null,27.512530259092788,30,10.110026540344833,-1.59,rank1_confidence-1.59,1712001114.5910983,19.353591203689575,8
AF-Q99584-F1-model_v3,1/5,null,-2.7164176391810533,1,2.6300243058121566,-2.54,rank1_confidence-2.54,1711947814.4364643,13.774436235427856,8
AF-A6NN06-F1-model_v3,1/5,null,-1.27052750681344,0,8.301585386165385,-2.66,rank1_confidence-2.66,1711847393.081123,74.70169520378113,8
AF-O43776-F1-model_v3,1/5,null,-5.624336387516899,37,8.369463080578484,-0.69,rank1_confidence-0.69,1711859777.2089212,27.112946271896362,8
AF-Q8WWT9-F1-model_v3,1/5,null,19.378541440278138,19,5.826497433437552,-1.93,rank1_confidence-1.93,1711934236.9395454,29.48026132583618,8
AF-P10636-F1-model_v3,1/5,null,-2.648688297310928,9,6.561091535509831,-2.08,rank1_confidence-2.08,1711872639.3095493,34.52792525291443,8
AF-Q9BZ71-F1-model_v3,1/5,null,22.80311704257598,42,5.37451053976325,-1.12,rank1_confidence-1.12,1711953469.0054832,41.26986312866211,8
AF-Q6N043-F1-model_v3,1/5,null,-4.783050632719816,7,6.1444774662201525,-0.51,rank1_confidence-0.51,1711909861.788932,40.73145914077759,8
AF-P82979-F1-model_v3,1/5,null,14995.657312647472,54,10.141778748538371,-2.8,rank1_confidence-2.80,1711887369.7590773,16.52743124961853,8
AF-O60282-F1-model_v3,1/5,null,4.762401824689271,33,6.0914032249817325,-3.45,rank1_confidence-3.45,1711860348.2206526,40.70404267311096,8
AF-P30520-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-P30520-F1-model_v3/rank1_confidence-0.44.sdf,-6.699576129712307,8,13.942690825038298,-0.6,rank1_confidence-0.60,1711879353.089364,16.99408507347107,8
AF-A0A0G2JQF1-F1-model_v3,1/5,null,-0.49442600445382767,13,14.581883741867244,-2.09,rank1_confidence-2.09,1711836850.0010233,10.481948375701904,8
AF-Q14CX5-F1-model_v3,1/5,null,326.11893085211284,56,7.457027490640172,-1.93,rank1_confidence-1.93,1711896314.104132,27.57545304298401,8
AF-P22570-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-P22570-F1-model_v3/rank1_confidence-1.06.sdf,16.67358652998334,33,7.496538253213302,-1.71,rank1_confidence-1.71,1711877131.2323933,19.227349281311035,8
AF-P82921-F1-model_v3,1/5,null,-3.5697871998026423,7,5.28376207380326,-1.33,rank1_confidence-1.33,1711887337.1776273,13.603662252426147,8
AF-Q76EJ3-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q76EJ3-F1-model_v3/rank1_confidence-1.12.sdf,-2.459953166147493,15,7.822403847641965,-1.81,rank1_confidence-1.81,1711915605.2809706,15.735962629318237,8
AF-P13985-F1-model_v3,1/5,null,-1.6753729051790942,17,10.715582783905717,-2.57,rank1_confidence-2.57,1711873833.217422,16.377193927764893,8
AF-Q9UKN5-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q9UKN5-F1-model_v3/rank1_confidence-0.37.sdf,-5.194089593707238,6,6.063326106286425,-0.78,rank1_confidence-0.78,1711996556.646555,19.933543920516968,8
AF-Q9H8P0-F1-model_v3,1/5,null,8594085.800343243,118,5.304057852576236,-4.48,rank1_confidence-4.48,1711958536.7502472,34.728066205978394,8
AF-O43424-F1-model_v3,1/5,null,3.666632861586099,25,7.633014835151727,-2.43,rank1_confidence-2.43,1711859106.5835254,41.6123993396759,8
AF-Q5HY98-F1-model_v3,2/5,/fast/AG_Akalin/asarigun/Arcas_Stage_1/FACTORY/RESULTS/TREAMID_AF/results//AF-Q5HY98-F1-model_v3/rank1_confidence-1.45.sdf,-3.9810148725530405,3,6.11492955037518,-0.95,rank1_confidence-0.95,1711904104.078858,34.79237699508667,8
AF-Q13106-F1-model_v3,1/5,null,-1.549617470721695,22,4.591330330946931,-1.37,rank1_confidence-1.37,1711892899.552444,25.46794295310974,8
AF-Q75L30-F1-model_v3,1/5,null,-0.9370288679314792,17,11.598112217227822,0.44,rank1_confidence0.44,1711915415.6875942,14.475868225097656,8
AF-Q9H210-F1-model_v3,1/5,null,788.9928498987978,111,171.1089127929152,-2.21,rank1_confidence-2.21,1711955754.5842159,21.430917978286743,8
AF-Q96DB5-F1-model_v3,1/5,null,2.0370823849067023,26,4.191639433325776,-15.01,rank1_confidence-15.01,1711939612.416449,20.31148409843445,8
AF-Q96J88-F1-model_v3,1/5,null,25.8589485379242,26,8.293078576321193,-1.8,rank1_confidence-1.80,1711942039.348604,21.198214054107666,8
AF-P80370-F1-model_v3,1/5,null,-0.980336757879504,12,6.131612672917157,-1.67,rank1_confidence-1.67,1711887208.550058,21.94647789001465,8
AF-P01814-F1-model_v3,1/5,null,-3.7417268313733794,12,6.7975758067969565,-1.22,rank1_confidence-1.22,1711866795.109999,14.982386827468872,8
