Protein ID,Binding Affinity (kcal/mol),Number of clashes,Strain Energy,Confidence Score,Rank of sdf,_timestamp,_runtime,_step
4eb9_protein_processed,-19.821740878439076,5,10.361512807145758,null,4eb9_ligand,1711400112.8380728,205.7444667816162,6
1npv_protein_processed,-14.942381469704936,0,6.613787386693716,null,1npv_ligand,1711382753.6282206,45.269261598587036,6
4ojq_protein_processed,-4.22973093311151,2,5.624783432412997,null,4ojq_ligand,1711403506.442205,6.800598859786987,3
2ow1_protein_processed,-8.628489613676116,20,0.47118776814218677,null,2ow1_ligand,1711387613.114042,11.74547004699707,6
4qgg_protein_processed,-10.66126589365325,7,1.0944918795498246,null,4qgg_ligand,1711404167.110458,29.157663822174072,6
2vtd_protein_processed,-8.135835387235206,5,3.5312044340952866,null,2vtd_ligand,1711388841.8181083,50.36859130859375,6
4da5_protein_processed,-8.353810059811767,1,1.4701294762348098,null,4da5_ligand,1711399591.1807976,19.692355632781982,6
6g02_protein_processed,-7.799656152800005,10,1.4389890111247574,null,6g02_ligand,1711416477.026356,54.25577092170715,6
3olg_protein_processed,-12.633033607601112,7,0.9626150406928247,null,3olg_ligand,1711395171.6303954,205.82061743736267,6
6czv_protein_processed,-7.460859707486402,3,5.030017206204548,null,6czv_ligand,1711415168.8525603,11.05508017539978,6
3bf1_protein_processed,-4.605126218881693,14,4.577448813143178,null,3bf1_ligand,1711390746.5247595,52.45554757118225,6
3nes_protein_processed,-5.821459951190235,6,10.672746385888672,null,3nes_ligand,1711394587.790445,27.256574153900146,6
6n8y_protein_processed,-8.0819923214099,4,3.598521160215185,null,6n8y_ligand,1711418052.2299786,16.639423608779907,6
4hwt_protein_processed,-9.262242477667074,5,3.5847764146473793,null,4hwt_ligand,1711401043.178227,20.409764051437378,3
1xd0_protein_processed,-12.410387525500425,6,6.682941846659617,null,1xd0_ligand,1711384818.0084593,117.55642223358154,6
3sl0_protein_processed,-7.520333188039436,5,0.3703869407303677,null,3sl0_ligand,1711396424.1813087,47.10314083099365,6
1h61_protein_processed,-7.0619954822061155,12,4.668347047739019,null,1h61_ligand,1711381437.2647474,43.30617332458496,6
4ygf_protein_processed,-5.713149300977311,0,5.8074838554203225,null,4ygf_ligand,1711406152.6008444,10.979165315628052,6
1xt8_protein_processed,-6.332146130376953,6,12.614340591548554,null,1xt8_ligand,1711384830.7127478,13.339372873306274,6
3ern_protein_processed,-6.352316821322225,11,null,null,3ern_ligand,1711391907.4067926,18.068796634674072,6
6pf5_protein_processed,-8.136305367483033,8,33.82353108433995,null,6pf5_ligand,1711418558.9433582,7.794118165969849,3
4gr8_protein_processed,-9.587021881893927,2,-0.1403632489813731,null,4gr8_ligand,1711400703.025638,29.86207413673401,6
5exl_protein_processed,-10.974692446525376,8,3.290738475138589,null,5exl_ligand,1711408388.6762924,17.046180486679077,3
4ciy_protein_processed,-8.215199091270911,7,7.906784600841149,null,4ciy_ligand,1711399370.8480947,17.488138675689697,6
1sqi_protein_processed,-9.761779612015028,10,-2.406176226983966,null,1sqi_ligand,1711383854.7645342,46.170013189315796,6
4y7r_protein_processed,-4.519527078801935,77,24.5290841325236,null,4y7r_ligand,1711406168.6998122,108.6604311466217,6
5ia0_protein_processed,-9.910355634278543,12,15.436540248576293,null,5ia0_ligand,1711409344.6727421,19.628127098083496,6
1r6n_protein_processed,-8.158282244881804,6,12.509969292649501,null,1r6n_ligand,1711383591.0331943,19.960551261901855,6
3ad7_protein_processed,-3.0350965501654885,8,0.9433921137742907,null,3ad7_ligand,1711390392.3432548,14.829879760742188,6
3uqr_protein_processed,-19.026094325875057,14,15.54351431310424,null,3uqr_ligand,1711397336.1443732,75.44717621803284,6
2csn_protein_processed,-6.98440176421858,8,2.383777040521352,null,2csn_ligand,1711385863.5838442,25.565592288970947,6
2gvz_protein_processed,-8.335375043566394,5,3.6093890602820693,null,2gvz_ligand,1711386433.9328055,25.699116468429565,6
2khh_protein_processed,-4.337582150961381,2,0.06703380535012116,null,2khh_ligand,1711387084.3994703,32.118749380111694,6
1yc4_protein_processed,-6.697899817297522,10,null,null,1yc4_ligand,1711384909.7068706,5.1531946659088135,3
1fq5_protein_processed,-14.350067010748573,6,6.2522058356417745,null,1fq5_ligand,1711381066.4442604,56.521764278411865,6
4k43_protein_processed,-6.208351492894251,5,5.400879522917975,null,4k43_ligand,1711401889.1690416,36.29648160934448,6
3p44_protein_processed,-9.761441992345361,17,5.8957412135078755,null,3p44_ligand,1711395161.0579758,12.684545755386353,3
2f89_protein_processed,-4.61277911912068,6,4.689860383362912,null,2f89_ligand,1711386076.1804018,27.54615879058838,6
4hzz_protein_processed,-5.486960593994174,13,6.279815546420032,null,4hzz_ligand,1711401087.862837,18.887184143066406,6
3u3z_protein_processed,-2.3853161523836,7,-2.5765208505627584,null,3u3z_ligand,1711397066.81412,42.674057960510254,6
5hn7_protein_processed,-5.561173351706407,3,2.3707025187119513,null,5hn7_ligand,1711409166.1168818,41.79533290863037,6
2qnq_protein_processed,-15.770598305923457,14,null,null,2qnq_ligand,1711388138.2036018,23.262244939804077,6
3u8d_protein_processed,-9.78761387838042,8,4.153402399988722,null,3u8d_ligand,1711397098.3685799,23.935632944107056,6
5o0s_protein_processed,-5.5894979800664695,4,0.5303352439873805,null,5o0s_ligand,1711411416.1066282,29.911047220230103,6
6dy7_protein_processed,-6.586711091896089,6,null,null,6dy7_ligand,1711415518.16744,12.893810987472534,3
4u0m_protein_processed,-13.193945285454303,17,2.5269282036060403,null,4u0m_ligand,1711405018.2779274,32.8065505027771,6
5kh3_protein_processed,-5.813917414146224,10,-16.51003115333927,null,5kh3_ligand,1711410110.6935196,9.321478605270386,6
6kla_protein_processed,-10.355774109946411,2,1.8583460105588276,null,6kla_ligand,1711417679.3620756,32.81200551986694,6
6g2b_protein_processed,-7.247271503061007,0,-5.286861511389404,null,6g2b_ligand,1711416477.718293,15.38028883934021,6
4gy5_protein_processed,-10.695723574330996,2,5.0701926880614145,null,4gy5_ligand,1711400802.1600492,57.39690017700195,6
5zhm_protein_processed,-9.81901163837904,2,8.659210721329721,null,5zhm_ligand,1711413996.8844602,24.884202241897583,6
6gjr_protein_processed,-6.489936332599208,12,1.2169860704270903,null,6gjr_ligand,1711416711.2526793,13.001132249832153,6
6j7l_protein_processed,-11.784742710663329,4,3.042398785611965,null,6j7l_ligand,1711417541.2063875,19.264577627182007,6
5ly3_protein_processed,-3.3572320154669035,10,0.5774417990004883,null,5ly3_ligand,1711410698.4165666,89.79792165756226,3
4f7l_protein_processed,-13.024893212308184,5,9.08716662549574,null,4f7l_ligand,1711400275.2973301,38.67460012435913,6
1b3h_protein_processed,-16.341420169418065,15,10.96463934259991,null,1b3h_ligand,1711380073.0960853,39.323543310165405,6
4iax_protein_processed,-8.03242640677039,8,2.521182931464711,null,4iax_ligand,1711401216.7726514,47.1944625377655,6
4tv3_protein_processed,-10.696360475381292,3,4.278334355266793,null,4tv3_ligand,1711404954.790262,40.72233510017395,6
5svz_protein_processed,-15.866537168332107,40,5.200683543690971,null,5svz_ligand,1711411973.1567907,82.19708681106567,6
3uyr_protein_processed,-9.646596856213645,4,3.090654394503723,null,3uyr_ligand,1711397367.9637797,15.627838611602783,3
1gzg_protein_processed,-4.213755368947791,2,0.34382571287151364,null,1gzg_ligand,1711381337.6296916,13.812671661376953,6
4ym4_protein_processed,37.33130943189608,7,7.147080276536656,null,4ym4_ligand,1711406224.2493622,7.91053318977356,3
4clj_protein_processed,-10.497742171493657,8,4.331909549509447,null,4clj_ligand,1711399402.2970428,20.916188955307007,6
2jqk_protein_processed,1.1918149232777435,1,4.079622146558464,null,2jqk_ligand,1711387005.8439918,13.272127866744995,6
1my8_protein_processed,-2.7480207059163866,5,0.8510633133097798,null,1my8_ligand,1711382523.141794,16.800814867019653,6
1okx_protein_processed,-10.56691588190114,5,3.302306469907485,null,1okx_ligand,1711383045.1832144,59.874852418899536,6
3c0z_protein_processed,-3.324112822310728,7,2.5660513125406013,null,3c0z_ligand,1711390912.0698597,28.321046829223633,6
2k46_protein_processed,-2.405851572556419,8,1.53030799443426,null,2k46_ligand,1711387032.5354683,12.949853420257568,6
6h7o_protein_processed,-11.734959657193533,6,5.634616421259466,null,6h7o_ligand,1711416913.1839173,7.37232232093811,3
3qck_protein_processed,-8.344537874102038,4,-69.33414319954123,null,3qck_ligand,1711395594.9708245,26.87345552444458,6
6fgf_protein_processed,-6.351046851047685,3,1.392346978405314,null,6fgf_ligand,1711416209.2545836,9.849551677703857,6
5fwr_protein_processed,-6.6579301572731655,18,2.4017648413447326,null,5fwr_ligand,1711408728.398988,12.303851127624512,6
1nfw_protein_processed,-9.988983760414039,1,-2.1392513260470736,null,1nfw_ligand,1711382602.165218,5.723098039627075,3
6f92_protein_processed,-6.692171410764519,22,3.038789647628704,null,6f92_ligand,1711416148.2068071,62.90337514877319,6
6iou_protein_processed,-6.270968992276597,1,5.617045455940286,null,6iou_ligand,1711417495.4247742,18.97157120704651,6
5fqc_protein_processed,-11.002740663738246,6,8.338583803825244,null,5fqc_ligand,1711408670.4472106,1.0587925910949707,2
4lgu_protein_processed,-11.977327807448022,4,1.5913178090080358,null,4lgu_ligand,1711402319.6365395,21.016682386398315,6
2gst_protein_processed,-6.0644295622907505,2,22.415455841686338,null,2gst_ligand,1711386414.7116756,32.26966667175293,6
1gj8_protein_processed,-13.859864424928974,0,0.7581785733640345,null,1gj8_ligand,1711381234.3957663,6.055318355560303,3
4e1z_protein_processed,-3.8747140349244535,3,5.170623896126969,null,4e1z_ligand,1711399848.0063903,16.995079278945923,3
1tve_protein_processed,-11.288871611483094,10,2.02940905626404,null,1tve_ligand,1711384085.4560735,18.59220552444458,6
4e93_protein_processed,4360.9243324419085,17,1.2291847200359598,null,4e93_ligand,1711399926.0089643,31.68866229057312,6
4qwf_protein_processed,-9.549595373552448,3,0.096144697276074,null,4qwf_ligand,1711404435.3561938,78.9074957370758,6
2qln_protein_processed,-9.122383727378304,4,6.1139749577938005,null,2qln_ligand,1711388171.7907412,82.94076323509216,6
1std_protein_processed,-7.142851051462352,5,6.635852130876742,null,1std_ligand,1711383867.9537003,32.5960373878479,6
4k6y_protein_processed,-4.722785819596262,9,13.942060007922919,null,4k6y_ligand,1711401902.9644368,5.20188570022583,3
5w7x_protein_processed,-11.303894526422647,11,1.4522085883729687,null,5w7x_ligand,1711413201.923396,31.537771224975586,6
2bdj_protein_processed,-10.828609508325613,10,2.5657132686047817,null,2bdj_ligand,1711385517.0144846,23.422841548919678,6
5oq6_protein_processed,-10.87043364410526,10,0.2901323140479857,null,5oq6_ligand,1711411609.9452329,29.715444803237915,6
5e91_protein_processed,-7.48235006740802,33,21.311710476910264,null,5e91_ligand,1711408075.1814349,37.664594888687134,6
4zs2_protein_processed,-4.620705661267383,4,2.2033144664050326,null,4zs2_ligand,1711406637.4883366,20.774609565734863,6
2ay8_protein_processed,-10.134243129759776,4,2.8772892090485627,null,2ay8_ligand,1711385448.6115053,37.77357816696167,6
6n7d_protein_processed,-4.391456297977187,14,1.8980391823896916,null,6n7d_ligand,1711418042.7072537,14.316860675811768,3
3c2r_protein_processed,-10.34740533072731,5,1.5415829913075214,null,3c2r_ligand,1711390922.8491495,28.453542470932007,6
5lhg_protein_processed,-7.3670173245085655,1,14.999687423024056,null,5lhg_ligand,1711410528.5319977,88.74627375602722,6
2z6w_protein_processed,-11.207226021760896,9,3.805883060333258,null,2z6w_ligand,1711390370.9272633,235.25478625297546,6
2c6e_protein_processed,-3.0719993908334575,4,2.8432260851601967,null,2c6e_ligand,1711385701.2853763,23.606654405593872,6
9lpr_protein_processed,-8.34023681890049,9,0.6478833467564797,null,9lpr_ligand,1711419416.9257007,28.76396656036377,6
4og4_protein_processed,-9.883817867651786,6,2.0240042508507017,null,4og4_ligand,1711403501.6251585,31.38665747642517,6
2k62_protein_processed,-11.995128743961645,1,2.8441805545923415,null,2k62_ligand,1711387073.1666687,49.8921537399292,6
5ohj_protein_processed,-9.767185200518872,7,4.725898036305239,null,5ohj_ligand,1711411555.892356,31.102447986602783,6
4b9k_protein_processed,-7.637121385608658,2,9.863932723358495,null,4b9k_ligand,1711398856.2555745,15.857498407363892,6
1w1v_protein_processed,-7.22558359807985,11,0.7183317939801128,null,1w1v_ligand,1711384548.8884745,86.69120335578918,6
3arw_protein_processed,-9.187378398341222,6,3.7872260506699575,null,3arw_ligand,1711390529.2092636,54.60098648071289,6
7std_protein_processed,-8.064994786040662,4,2.7514227918457976,null,7std_ligand,1711419387.2193086,25.934932708740234,6
4ue1_protein_processed,-7.693792940472393,12,3.897258662289083,null,4ue1_ligand,1711405139.4133422,7.996594190597534,3
1owj_protein_processed,-5.534501368250012,8,0.33479102731877397,null,1owj_ligand,1711383081.8386562,18.050026178359985,6
5abp_protein_processed,-13.01001793671604,3,0.8518574057675465,null,5abp_ligand,1711406934.7987752,12.743421077728271,6
4fgx_protein_processed,-7.009632926231913,14,4.373133289419805,null,4fgx_ligand,1711400426.20062,120.2162389755249,6
1hc9_protein_processed,-12.147565051956429,12,2.8593345483523542,null,1hc9_ligand,1711381432.6384964,6.929447412490845,3
4e20_protein_processed,-10.330073015996431,1,3.201994624034299,null,4e20_ligand,1711399838.4687726,7.111191749572754,3
4ap7_protein_processed,-12.958378849602132,1,1.3934167313543853,null,4ap7_ligand,1711398560.4597323,30.332258224487305,6
3m37_protein_processed,-10.699026722394558,3,11.600286684619803,null,3m37_ligand,1711394119.3286748,17.990091800689697,6
4lwv_protein_processed,-15.60825415342675,10,null,null,4lwv_ligand,1711402478.6215982,17.08640432357788,6
4prg_protein_processed,-7.244255404929388,4,3.0340818291618916,null,4prg_ligand,1711403930.6585298,32.465285778045654,6
4av5_protein_processed,-9.94519326768019,3,-69.14106512078303,null,4av5_ligand,1711398612.9442878,14.286890745162964,6
1l8g_protein_processed,-5.591063141481851,11,null,null,1l8g_ligand,1711382163.6250815,20.716307640075684,6
4oak_protein_processed,-10.996194226011324,5,0.09827649414089734,null,4oak_ligand,1711403418.3877919,35.37331986427307,6
3k00_protein_processed,-11.243953592838228,2,8.287634451862573,null,3k00_ligand,1711393470.8427691,37.31939125061035,6
4okg_protein_processed,-10.024646224917026,6,6.384583381338103,null,4okg_ligand,1711403536.8468227,26.66329264640808,6
1nq7_protein_processed,-10.422818729851308,11,5.278489780866799,null,1nq7_ligand,1711382753.3653426,36.029242515563965,6
2q2a_protein_processed,-10.232783992162117,0,2.0930613516681404,null,2q2a_ligand,1711387903.1550732,13.74146318435669,6
4uiw_protein_processed,-11.49308317279785,6,4.3997600764121,null,4uiw_ligand,1711405203.6694415,18.8372745513916,6
4q3q_protein_processed,-5.798433896295928,11,4.2522921995639145,null,4q3q_ligand,1711404042.908204,1.933427095413208,2
5ke0_protein_processed,-13.023207613840725,1,3.2814168621619046,null,5ke0_ligand,1711410102.1167848,17.915649890899658,3
3d8y_protein_processed,-8.191948144698225,7,2.8419450906672203,null,3d8y_ligand,1711391317.0243335,18.374417543411255,6
5nrf_protein_processed,-10.080428237919955,0,0.2757614805534132,null,5nrf_ligand,1711411275.816873,21.69500708580017,3
3iss_protein_processed,-4.755964542400743,2,2.453045126646785,null,3iss_ligand,1711393357.221818,64.97702407836914,6
3h0j_protein_processed,-5.243357567869453,5,3.2396141596150443,null,3h0j_ligand,1711392752.088927,71.39852905273438,6
6di1_protein_processed,-9.844404203968965,1,4.7920387509428295,null,6di1_ligand,1711415375.426126,14.687743902206421,6
4k3m_protein_processed,-14.566090027663144,5,6.745296619001763,null,4k3m_ligand,1711401866.7315614,23.260935306549072,6
2wei_protein_processed,-6.901511803457265,14,7.816097419235518,null,2wei_ligand,1711389097.734028,32.30858516693115,6
3peq_protein_processed,-10.415253059917335,3,1.534737014623886,null,3peq_ligand,1711395310.177308,23.291231155395508,6
4c72_protein_processed,-10.523915892601929,2,0.9446957651456636,null,4c72_ligand,1711399273.7370985,42.50743055343628,6
4nvp_protein_processed,-8.612993262788098,21,9.111811242241558,null,4nvp_ligand,1711403191.5311003,13.576404333114624,6
2qu3_protein_processed,-7.536140007701234,5,2.6000197937427743,null,2qu3_ligand,1711388220.8923862,20.900724172592163,6
4meo_protein_processed,-7.136736411161162,4,12.292051689969902,null,4meo_ligand,1711402632.865347,9.663384914398193,6
3btc_protein_processed,-3.4629527189927276,1,0.1696727029419094,null,3btc_ligand,1711390814.179521,21.987755060195923,6
4de3_protein_processed,-9.738538273142533,31,2.7761342489804868,null,4de3_ligand,1711399600.1366506,4.664620637893677,3
1ykp_protein_processed,0.9112120281867019,3,5.634068303036237,null,1ykp_ligand,1711385013.1771963,67.21302914619446,6
5iu8_protein_processed,-9.511294920073784,4,14.767808856790005,null,5iu8_ligand,1711409533.9437478,21.992326736450195,6
6b1e_protein_processed,-7.866186196470297,10,15.236618953153652,null,6b1e_ligand,1711414389.90979,37.838947057724,6
3oaw_protein_processed,-10.3339431028611,11,15.433047745026613,null,3oaw_ligand,1711394873.7937472,33.18081521987915,3
4kqp_protein_processed,-6.346086462784966,9,4.74970805566279,null,4kqp_ligand,1711402072.4283705,10.901668548583984,6
4aze_protein_processed,-9.997938188783905,1,1.5113477289930728,null,4aze_ligand,1711398702.879772,20.750764846801758,6
3uev_protein_processed,-8.535487769685604,2,2.4831506896833133,null,3uev_ligand,1711397161.4612496,13.708074569702148,6
5j82_protein_processed,-7.7628853404747575,0,-0.06566395642634859,null,5j82_ligand,1711409758.9902415,23.600271463394165,6
1ukh_protein_processed,-5.5862104384953595,2,3.2788478891115744,null,1ukh_ligand,1711384257.979593,94.4665219783783,6
1o2t_protein_processed,-6.946444196324385,12,5.896454863592819,null,1o2t_ligand,1711382818.797101,5.33945894241333,3
4dmw_protein_processed,-10.625305100539867,3,6.256501139279024,null,4dmw_ligand,1711399779.8493185,52.67379951477051,6
2wfj_protein_processed,-6.532134602296456,0,16.416585559760627,null,2wfj_ligand,1711389218.9061105,123.12362957000732,6
5dtw_protein_processed,-5.952387100748517,8,18.61190099965647,null,5dtw_ligand,1711407933.6603472,51.124988317489624,6
3zvv_protein_processed,-6.612316985829521,13,10.116703748516912,null,3zvv_ligand,1711398267.1220303,67.3038682937622,6
5ea4_protein_processed,-14.73877505823957,5,null,null,5ea4_ligand,1711408097.6699593,56.39594626426697,6
4xx9_protein_processed,-6.4731513591758,5,2.7483516207798973,null,4xx9_ligand,1711405972.869322,16.78908896446228,6
6i96_protein_processed,-5.636648673561933,13,8.06827353844686,null,6i96_ligand,1711417405.0038893,34.68881821632385,3
3m2u_protein_processed,-9.492166142642223,5,null,null,3m2u_ligand,1711394147.2789764,59.6840124130249,6
1y2g_protein_processed,-9.607579516007032,7,0.5265803797533835,null,1y2g_ligand,1711384866.4716978,11.05670976638794,6
5n3y_protein_processed,-7.032498551854315,12,5.5160280817874145,null,5n3y_ligand,1711411038.7279546,22.49320673942566,6
5jy0_protein_processed,-9.64012867060386,17,2.115468340420499,null,5jy0_ligand,1711410023.107515,75.4685001373291,6
4p3h_protein_processed,-6.506782846261152,10,null,null,4p3h_ligand,1711403673.8505592,5.754870176315308,3
3p5o_protein_processed,-5.56623427199738,4,7.860655666064908,null,3p5o_ligand,1711395179.8834815,14.678723573684692,6
4fns_protein_processed,-8.80169486722045,3,13.189110729683307,null,4fns_ligand,1711400444.5778291,71.86616110801697,6
3arz_protein_processed,-8.631895032338596,11,2.372908763909411,null,3arz_ligand,1711390501.4478695,21.659849643707275,6
5c7n_protein_processed,-5.645348525483372,2,0.22881684264539182,null,5c7n_ligand,1711407462.564275,10.798423051834106,6
2qrm_protein_processed,-5.34855725769515,7,5.672791691820173,null,2qrm_ligand,1711388252.4358568,79.35228085517883,6
5t36_protein_processed,-15.784483949892648,4,1.6216419402280309,null,5t36_ligand,1711412011.0240283,18.274153232574463,6
6ipl_protein_processed,-9.137909172759722,1,-0.15310869666102178,null,6ipl_ligand,1711417517.0567188,37.726353883743286,6
6pve_protein_processed,-5.8767286669096475,4,4.825205581907632,null,6pve_ligand,1711418715.3075721,49.48623323440552,6
5zk8_protein_processed,-3.5951509238963797,4,8.829328953729942,null,5zk8_ligand,1711414037.925575,44.32634401321411,6
4riv_protein_processed,-15.854119093362579,10,-7.783765182283787,null,4riv_ligand,1711404662.809363,11.94023585319519,6
4ejl_protein_processed,-10.997021072676947,10,0.4013739186003278,null,4ejl_ligand,1711400000.2957885,2.782125473022461,3
1lzq_protein_processed,-9.161619643992132,5,5.151963411195993,null,1lzq_ligand,1711382337.0915473,36.93786931037903,6
2bqw_protein_processed,-7.676755636244239,4,1.0058142810849233,null,2bqw_ligand,1711385583.5913582,22.250282287597656,6
5al1_protein_processed,-10.705922262571178,9,1.9632833219450063,null,5al1_ligand,1711407112.0783572,24.143898248672485,6
3wtl_protein_processed,169.37426928694083,5,0.8518335050353016,null,3wtl_ligand,1711397970.7837524,37.00792455673218,6
4iu4_protein_processed,-9.861355897613125,19,-1.8829748599258664,null,4iu4_ligand,1711401322.131245,1.1681559085845947,2
4puz_protein_processed,-6.087738491674121,6,1.8178703636648734,null,4puz_ligand,1711403962.4252746,16.180827617645264,3
1l6y_protein_processed,-7.255090526602978,2,4.905501051909184,null,1l6y_ligand,1711382163.1280203,24.942460298538208,6
4hy1_protein_processed,-16.407315474534965,3,12.739463388866284,null,4hy1_ligand,1711401046.953343,8.041115999221802,3
1jiz_protein_processed,-9.371267005286938,1,2.1800821892536817,null,1jiz_ligand,1711381851.7639713,17.212451219558716,6
4fcm_protein_processed,-5.491071885441619,26,2.8160621172382534,null,4fcm_ligand,1711400300.4506066,19.475847482681274,6
2pwc_protein_processed,-6.678529835344506,0,4.31508589202312,null,2pwc_ligand,1711387878.3945706,33.82786250114441,6
1elc_protein_processed,-12.59431848605057,3,null,null,1elc_ligand,1711380803.467659,23.339762926101685,6
6j06_protein_processed,-8.385771228869551,3,12.224949346278251,null,6j06_ligand,1711417526.0108845,22.666151523590088,6
4wr7_protein_processed,-6.3107129992526705,24,0.12762924272231047,null,4wr7_ligand,1711405559.871723,13.571048021316528,6
5q0m_protein_processed,-5.874805309942407,13,-2.726101668485583,null,5q0m_ligand,1711411795.7718325,57.3698353767395,6
4og5_protein_processed,-12.2259114071541,3,-5.084326029110471,null,4og5_ligand,1711403501.021436,30.489799976348877,6
5y8w_protein_processed,-4.381936215198724,21,null,null,5y8w_ligand,1711413708.8709064,10.276387453079224,6
